id,alphaSS,betaSS,deltaSS,alphaRS,betaRS,delta_target,delta_flanker,deltaRS,tau,X^2,bic
1.0,0.3486105474586523,0.6959017969183179,0.5097176458331835,0.17476388946689062,0.9934316692638755,0.1484919696257429,0.11118443617761326,1.0235803136042667,0.21848243127781342,337.588868888035,2301.167415742371
2.0,0.2101049344165909,0.6366718732624722,0.5343432754755032,0.23101799559717903,0.9989242218065053,0.14943002387687207,0.052490535951471545,0.9767831339223124,0.2565415008525518,584.4640901743536,2540.6716667279416
3.0,0.21758175575126237,0.7330895449513577,0.5025852823600863,0.18207717903028486,0.9991426084213555,0.1491980459349541,0.05065758652298638,0.7813329323762774,0.23057896098810537,624.9218111956192,2668.3001212082004
4.0,0.209602811203778,0.8498301522009307,0.38524822385011676,0.1409375271298307,0.5247098231983488,0.14948438287475826,0.1293082710280712,0.44601437547192196,0.19903479032461713,369.8788614638618,2430.459295632437
5.0,0.276630650334179,0.7730892499624413,0.5309249338382986,0.22591879315927732,0.999321860669798,0.14866285082242905,0.06787935713014112,0.5591500978460829,0.3294925427458537,201.14522076107892,2057.0946091518554
6.0,0.15045723502036418,0.36869678612863777,0.5473098490106781,0.24909587398417107,0.9997855615916763,0.14881357866927025,0.06551923093654696,0.6051315579514577,0.24648732203885124,295.52291922971864,2238.195331810833
7.0,0.16028006298921407,0.3453718192766337,0.5491177312062567,0.3326730933741758,0.9991509117483673,0.14730748715845177,0.0644119717539233,0.8127349912920061,0.19848116382163233,335.4966646150653,2293.8293494321424
8.0,0.16457950558948786,0.6333360256290805,0.4088026076238366,0.22138636568425282,0.9872873007367858,0.14627456486440948,0.051840744557263736,0.48916276579475443,0.20170762659607247,726.7469764848972,2789.9663005304046
9.0,0.2497545862391325,0.8210238860270491,0.54251918767755,0.19965150966637857,0.9954624854543341,0.08853872633301443,0.061719648958741796,0.5235608912396321,0.22705683827610756,609.3845731363044,2697.7050326198755
10.0,0.24205992923140207,0.6782961668235554,0.526233247099399,0.16317396284112845,0.9997019782751959,0.14948864178964233,0.050232400503881044,0.6168109783393825,0.26443607745290726,353.9360730099572,2249.307648270701
11.0,0.21279427031133263,0.7233757452676246,0.49092606734320243,0.24696254554106228,0.9824460073654675,0.1483273728238264,0.05085970026127218,0.5889886797757428,0.23545517880297662,644.2185643396733,2616.926390044697
12.0,0.17099843499597647,0.3797864947646673,0.5486879490121466,0.24649561136124729,0.9995912470816096,0.1484150350416161,0.06360235127175468,0.5406620183727278,0.18769597812391808,766.9665133075038,2776.111184401637
13.0,0.1886020782871478,0.6503570931758244,0.5430339401466121,0.2571384315266915,0.9997908780586331,0.14946979165460011,0.05371810596474731,0.9555139066856659,0.28197240074708224,244.42855034097005,2175.598400526459
14.0,0.2964115208539795,0.6444121228403024,0.5486220261980426,0.2753503400950748,0.9984360935722825,0.1486847103137239,0.06446270360660751,0.8433804144566519,0.23902355188381605,274.75405741851534,2171.647993830082
15.0,0.36808873994744284,0.7436477295995277,0.5432118133994974,0.3478494350837923,0.980331416680486,0.1493086699938806,0.09147234858534539,0.6972475658752572,0.24315820249058445,63.275371903063224,1889.0317592250387
16.0,0.30051657190794645,0.6813107750725214,0.5196347679607916,0.17035522945743506,0.9306994295979291,0.1429313513902844,0.07211130223607304,0.9660511845773387,0.22703019091885562,272.7760412017249,2160.985160707864
17.0,0.16939121675205177,0.41792598746470594,0.5468884260382284,0.22028753654868977,0.9991584240117533,0.1490050341517623,0.06385197716465552,0.5089738263237746,0.27355297995959843,469.65341645320945,2408.3175435170747
18.0,0.2438524628291403,0.5951559245273057,0.538717985102793,0.2075176577806963,0.9741731159891123,0.1362387357866799,0.11258347126690577,1.0336352192997627,0.2078097160896492,754.1602641434295,2767.6363147288916
19.0,0.18508963836113526,0.5137608240397163,0.49719085475565206,0.2995413920000513,0.9966861737176371,0.14516407002275622,0.07174076534488104,0.9985016685406332,0.22854288527288574,532.6191435439497,2494.8363757013994
20.0,0.19766682665967428,0.7297850372915012,0.5101657684754605,0.23914947733675657,0.994596114298874,0.14864408305012136,0.05919693265798372,0.8830157786958683,0.2675382371790844,414.8466650678561,2399.7800897498464
21.0,0.29829637992334235,0.7962074817652531,0.516257700459436,0.1977368269283694,0.9999659723344305,0.14900813322636625,0.06133958026161827,0.8238823510756914,0.24225626819256074,979.6275834660363,2997.0408189408627
22.0,0.2827148850033723,0.8197946038667885,0.5462905846872417,0.14028947980707301,0.5617661825444239,0.14966959434579433,0.14582204586120104,0.7552233807860427,0.22174276958886496,308.75959977811476,2276.503643433815
23.0,0.2413567009178977,0.8181785177530135,0.4976181708347497,0.14004350629871132,0.5366553279755517,0.14984510362156628,0.1363947599376167,0.7308364368895177,0.21867173042955357,381.31968056977973,2395.834349726954
24.0,0.2397390012787773,0.562909199749825,0.5480615811089137,0.35084303882949675,0.998938036503198,0.14851125606321774,0.06664563032216696,0.8546717331786293,0.21055664222504822,592.1246421251515,2607.138738896495
25.0,0.1542692133275104,0.32061799812221453,0.5497321274282234,0.24761969778929668,0.9992119985343296,0.14772642970598263,0.10575463257625348,0.8778823926880088,0.2247742203275209,433.78815470399144,2387.269475009737
26.0,0.3696335391805211,0.8201579250804953,0.48990661711678146,0.14051562518182867,0.48766907938479637,0.12939102047218834,0.08507057717978382,0.4090088131392388,0.15495119785876624,238.69268918446414,2323.0368826474933
27.0,0.30009409593458264,0.836003249850108,0.5409344809676501,0.14046513274739392,0.5229577889501519,0.1499100617776272,0.1296068034765032,0.9970564433549391,0.19791137865095138,369.41573089683357,2385.0774521274125
28.0,0.17995942109934587,0.4770235417566825,0.539930287259479,0.25614780312261637,0.9657749709430554,0.129488595125629,0.056942461078470646,0.9113375536828215,0.22219136376780554,382.33834423638575,2339.312660592706
29.0,0.2690472477508565,0.6270341223235798,0.5419089399086277,0.1988678473816925,0.9980987757722602,0.14832003809284275,0.06407215232803262,0.9397978314844515,0.22876012463077977,567.9791437341997,2523.916831066501
30.0,0.30210509997738993,0.8368318661880766,0.5495701842482884,0.1971604947072896,0.9934124379256968,0.14632948175775384,0.05786827654015775,0.5793711737409174,0.26946455714519213,343.48328950705775,2281.771632523992
31.0,0.2976770849875276,0.8906696457130652,0.4868688568789157,0.14016961246422263,0.561657903833678,0.14775502840339483,0.16900389372998267,0.628240652814489,0.19177434872381277,458.2267036103032,2497.8471544550484
32.0,0.24912058852119004,0.763567334602636,0.5498851107218243,0.14045576116848296,0.4590107837333897,0.1436731989218581,0.06286546748404014,0.5913526466205703,0.22413480548178225,163.46228549644485,2162.0053467705234
33.0,0.16387926944947367,0.4319945918559357,0.5342117871129839,0.3683891765323205,0.9873051271179808,0.12758950860731294,0.07099369489936094,1.0959967922830351,0.2687771064441627,237.60966422380926,2159.421420101887
34.0,0.24264467709454096,0.6467330169326045,0.45377275668466077,0.19187143030363865,0.9397451243744893,0.14857929709540552,0.08032782165932663,0.9298741576803389,0.25917965970697987,400.9967776175942,2394.916176555041
35.0,0.19046378551022564,0.7510244146044759,0.4226864036440932,0.2737405181519977,0.9723309515594581,0.14425611619627607,0.058125734756634434,0.5921606601238043,0.26849061176686395,540.5243611697457,2544.5241110697166
36.0,0.33125346743115636,0.835199913053808,0.5179006118077928,0.20983151525888444,0.9985494228824807,0.1473052693424469,0.050171101199984,0.742647999231519,0.24319472242526474,664.9439259482863,2691.63119681333
37.0,0.14294637454182602,0.4495659210416801,0.5368790007361963,0.2514952965552135,0.9909005916040696,0.14375278800441338,0.0507078386654308,0.6448953963790364,0.27909485153096814,70.98249151945282,1917.1163671726028
38.0,0.27885802436617696,0.6618793351512755,0.5127576577376853,0.2637393308749012,0.9952749391052234,0.14929231761857362,0.06951354379886099,0.6703685451618651,0.20358495942598975,350.03624058634944,2263.0675847690704
39.0,0.2770109027941484,0.6555455848658389,0.5245381864022084,0.27962444734446157,0.9950389822128729,0.1465671561188937,0.06420752329374997,0.5800350894330586,0.2290639186086018,163.77147233335782,2025.255045934227
40.0,0.36225580878486957,0.7433644755854415,0.45240463148789367,0.2812800838677753,0.9819822798924109,0.1425970911653423,0.06205481950801282,1.1385070939843636,0.23507621696493364,89.99722874984965,1940.5135808925365
41.0,0.23012849342558167,0.6712043492102576,0.5294844254108236,0.19384451268378666,0.9789946529916544,0.14909004737431691,0.05445309226045947,0.8901874961570473,0.24510993726499203,697.875820563846,2669.114240402771
42.0,0.2547880630338857,0.7999409590479195,0.547170012948962,0.14071394252443425,0.5258038697437293,0.14931363985951673,0.14290085447907516,0.7184224277963518,0.1689658569169515,438.85561715273985,2532.6084415088635
43.0,0.3086211018038194,0.6585256775379742,0.5487217570350553,0.3257558129483915,0.9976808750248508,0.14989151797448153,0.0635663641761022,0.9942718156134317,0.22415618940264184,267.35922008460074,2164.0150903116473
44.0,0.23965247500458411,0.7247231983670732,0.47399423506843136,0.1445518719370114,0.9979532251435596,0.14892928969354227,0.050904701187355614,0.7115802195655899,0.28585683137617135,146.97189712224645,2012.1048830080388
45.0,0.15463706000020006,0.509304485632364,0.5316649621335017,0.16441328544734504,0.9987853951223848,0.14944464736407842,0.06933243232175496,1.0226404947714187,0.293381905749327,264.1460825029197,2230.761626968257
46.0,0.15312851859899315,0.3114758319335968,0.5473403243487155,0.22806466926904295,0.9983427071011319,0.14501159905048994,0.06917972052557149,0.5238466166568576,0.2133358133680519,314.1148803045974,2294.785255391534
47.0,0.2547622519176044,0.6128080491015707,0.546560211413753,0.35260596876810435,0.9986624648930293,0.14941520993325333,0.06470435792975153,0.6054434555369341,0.24028009423233826,560.2375206893151,2564.8247717455206
48.0,0.32043748746097406,0.6831497179011782,0.5300993295178291,0.2006550444800982,0.977104115448267,0.14991286642228446,0.05040355768125658,0.7796550881181228,0.34437941378170983,375.2960861849918,2379.3345941472703
49.0,0.26208355567095065,0.7362563656936355,0.5272930837890213,0.18692463434414414,0.9978043362664513,0.14982545564117886,0.05033358948423304,0.6009527327987162,0.25489651917031414,283.3041577575376,2164.659916057358
50.0,0.2689762816371768,0.7270065444398853,0.4895863134134219,0.2598336973073643,0.99537616654654,0.14695601189683602,0.05331442233745898,0.7790811758692855,0.29279293738173784,105.10279547425297,1986.5223598521857
